lemma,upos,synonyms,hypernyms
backer,NNS,angel|backer,patron|sponsor|supporter
salvation,NN,redemption|salvation,rescue|deliverance|delivery|saving|means|agency|way|safety
corsican,NNP,,NA
triumphantly,RB,triumphantly,
campaigning,NN,campaigning|candidacy|candidature|electioneering|political campaign,campaign|cause|crusade|drive|movement|effort
rev­o­lution,NNP,,NA
defeat,VBG,defeat|get the better of|kill|overcome|shoot down|vote down|vote out,veto|blackball|negative
aus­trians,NNP,,NA
brit­ish,NNP,,NA
bona­parte,NNP,,NA
re­turned,JJ,,NA
crush,VB,beat|beat out|break down|crush|jam|mash|oppress|shell|smash|squash|squeeze|squelch|suppress|trounce|vanquish,press|get the better of|overcome|defeat|break up|fragment|fragmentize|fragmentise|humiliate|mortify|chagrin|humble|abase|bruise|contuse|change|alter|modify|break|separate|split up|fall apart|come apart
stage,VBD,arrange|present|represent|stage,re-create|initiate|pioneer
direc­toire,NNP,,NA
dictatorship,NN,absolutism|authoritarianism|Caesarism|despotism|dictatorship|monocracy|one-man rule|shogunate|Stalinism|totalitarianism|tyranny,autocracy|autarchy
first,CD,NA,NA
consul,NNP,consul,diplomat|diplomatist
banque,NNP,,NA
state-run,JJ,,NA
lycées,NNS,,NA
school,NNS,school|school day|schoolhouse|schooling|schooltime|shoal,educational institution|building|edifice|education|body|time period|period of time|period|animal group
code,NNP,code|codification|computer code,written communication|written language|black and white|coding system
napoléon,NNP,,NA
dear,RB,affectionately|dear|dearly,
become,VBG,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
reality,NN,realism|reality|realness|world,experience|actuality|materiality|physicalness|corporeality|corporality
supreme,NN,,NA
self-made,JJ,self-made,
1804,CD,NA,NA
coronation,NN,coronation|enthronement|enthronisation|enthronization|investiture,initiation|induction|installation
ceremony,NN,ceremonial|ceremonial occasion|ceremony|observance,affair|occasion|social occasion|function|social function|activity
audaciously,RB,audaciously,
golden,JJ,aureate|favorable|favourable|fortunate|gilded|gilt|gold|golden|halcyon|lucky|prosperous,
laurel,NNS,Arthur Stanley Jefferson Laurel|bay wreath|laurel|Laurel|laurel wreath|Stan Laurel,angiospermous tree|flowering tree|wreath|garland|coronal|chaplet|lei
place,VBD,aim|come in|come out|commit|direct|grade|identify|invest|lay|localise|localize|locate|order|place|point|pose|position|post|put|range|rank|rate|send|set|site|station|target,move|displace|delegate|designate|depute|assign|evaluate|pass judgment|judge|station|post|send|place|order|rank|aim|take|train|take aim|direct|determine|set|stage|present|represent|estimate|gauge|approximate|guess|situate|locate|spend|expend|drop|race|run|sing
head,NN,brain|capitulum|caput|chief|drumhead|forefront|foreland|fountainhead|head|head teacher|head word|header|heading|headland|headspring|headway|mind|nous|oral sex|pass|point|principal|promontory|psyche|question|read/write head|school principal|straits|top dog,external body part|domestic animal|domesticated animal|cognition|knowledge|noesis|leader|formation|pressure|pressure level|force per unit area|top|beginning|origin|root|rootage|source|word|point|tip|peak|linear unit|linear measure|plant organ|educator|pedagogue|pedagog|individual|drug user|substance abuser|user|natural elevation|elevation|object|physical object|foam|froth|front|front end|forepart|juncture|occasion|progress|progression|advance|mark|subject|topic|theme|line|structure|anatomical structure|complex body part|bodily structure|body structure|coil|obverse|striker|toilet|lavatory|lav|can|john|privy|bathroom|projection|membrane|perversion|sexual perversion
manage,VBD,bring off|care|carry off|contend|cope|deal|do|finagle|get by|grapple|handle|make do|make out|manage|negociate|oversee|pull off|superintend|supervise|wangle|wield,NA
simultaneously,RB,at the same time|simultaneously,
pursue,VB,act on|engage|follow|follow up on|go after|prosecute|pursue|quest after|quest for,act|move|travel|go|locomote|search|seek|look for|react|oppose
conquest,NNS,conquering|conquest|seduction|subjection|subjugation,capture|gaining control|seizure|success
modernized,JJ,modernised|modernized,
university,NN,university,body|establishment|educational institution
proper,JJ,proper|proper(a)|proper(ip)|right,
supplies,NNS,,NA
drinking,NN,boozing|crapulence|drink|drinking|drunkenness|imbibing|imbibition,consumption|ingestion|intake|uptake|intemperance|intemperateness
water,NN,body of water|H2O|pee|piddle|piss|urine|water|water supply|water system|weewee,binary compound|liquid|thing|element|facility|installation|body waste|excretion|excreta|excrement|excretory product|food|nutrient
pari­sians,NNP,,NA
russium,NNP,,NA
moscow,NNP,capital of the Russian Federation|Moscow|Russian capital,
statute,NN,legislative act|statute,act|enactment
comédie-,NNP,,NA
theater,NN,dramatic art|dramatics|dramaturgy|field|field of operations|house|theater|theater of operations|theatre|theatre of operations,building|edifice|communication|communicating|region
dissolve,VBN,break up|dethaw|disband|dismiss|dissolve|fade away|fade out|melt|resolve|thaw|unfreeze|unthaw,change state|turn|change integrity|end|terminate|break up|upset|discompose|untune|disconcert|discomfit|break down|lose it|snap|change|alter|modify|disintegrate|liquefy|flux|liquify
nationalism,NN,nationalism|patriotism,loyalty|trueness|doctrine|philosophy|philosophical system|school of thought|ism|ambition|aspiration|dream
invoke,VBD,appeal|arouse|bring up|call down|call forth|conjure|conjure up|evoke|invoke|put forward|raise|stir,call up|summon|mention|advert|bring up|cite|name|refer|request|ask for|bespeak|call for|quest
monarchy,NNS,monarchy,autocracy|autarchy
regrouped,JJ,,NA
1814,CD,NA,NA
nevertheless,RB,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
brief,JJ,abbreviated|brief,
comeback,NN,comeback|counter|rejoinder|replication|retort|return|riposte,reply|response|reappearance|return
prussian,NNP,Prussian,German
belgian,JJ,Belgian,
dutch,JJ,Dutch,
troops,NNS,military personnel|soldiery|troops,force|personnel
waterloo,NNP,Battle of Waterloo|waterloo|Waterloo,defeat|licking
napoleonic,NNP,,NA
restore,VBN,bushel|doctor|fix|furbish up|mend|reconstruct|reestablish|regenerate|reinstate|rejuvenate|repair|restitute|restore|touch on,regenerate|renew|refund|return|repay|give back|better|improve|amend|ameliorate|meliorate|change|alter|modify
xviius,NNP,,NA
reconcile,VB,accommodate|conciliate|harmonise|harmonize|make up|patch up|reconcile|resign|settle|submit,harmonize|harmonise|adjust|set|correct|agree|hold|concur|concord|accept
revo­lution,NNP,,NA
intent,NN,aim|design|intent|intention|purport|purpose|spirit,goal|end|meaning|significance|signification|import
revenge,NN,retaliation|revenge,return|paying back|getting even
second,NN,arcsecond|bit|endorsement|indorsement|instant|irregular|minute|mo|moment|s|sec|second|second base|second gear|secondment,time unit|unit of time|time|position|point|point in time|rank|angular unit|attendant|attender|tender|agreement|gear|gear mechanism|merchandise|ware|product
violent,JJ,crimson|fierce|red|tearing|trigger-happy|vehement|violent|wild,
bonapartist,NNP,,NA
general,NNS,full general|general|superior general,general officer|head|chief|top dog|fact
x,NNP,10|Adam|cristal|decade|disco biscuit|ecstasy|ex|go|hug drug|ten|tenner|x|X|XTC,large integer|letter|letter of the alphabet|alphabetic character|methylenedioxymethamphetamine|MDMA
interested,JJ,concerned|interested,
renew,VBG,regenerate|reincarnate|renew,re-create|regenerate|restore|rejuvenate
cathedral,NN,cathedral|duomo,church|church building|church|church building
tolerate,VB,abide|allow|bear|brook|digest|endure|permit|put up|stand|stick out|stomach|suffer|support|tolerate,permit|allow|let|countenance|respect|honor|honour|abide by|observe|suffer|endure
restraint,NNS,chasteness|constraint|control|restraint|simpleness|simplicity,control|discipline|confinement|restriction|limitation|plainness|device
worsen,VBG,aggravate|decline|exacerbate|exasperate|worsen,change state|turn|change|alter|modify
condition,NN,circumstance|condition|consideration|experimental condition|precondition|shape|status|stipulation|strings|term,state|premise|premiss|assumption|information|good health|healthiness|illness|unwellness|malady|sickness|statement|procedure|process
insurrection,NN,insurrection|rebellion|revolt|rising|uprising,conflict|struggle|battle
1830,CD,NA,NA
kind,NN,form|kind|sort|variety,category
revolution,NN,gyration|revolution|rotation,change|alteration|modification|group action|turning|turn
pave,VBG,pave,coat|surface
bourgeois,NNS,bourgeois|burgher|businessperson,capitalist|commoner|common man|common person
louis-,NNP,,NA
progressive,JJ,progressive|reform-minded|reformist,
branch,NN,arm|branch|leg|limb|offset|offshoot|outgrowth|ramification|subdivision,division|stalk|stem|subfigure|consequence|effect|outcome|result|event|issue|upshot|stream|watercourse|projection
encourage,VBD,advance|boost|encourage|further|promote,support|back up|inspire|animate|invigorate|enliven|exalt|induce|stimulate|cause|have|get|make
exploitation,NN,development|exploitation|using|victimisation|victimization,use|usage|utilization|utilisation|employment|exercise|mistreatment
complementary,JJ,complemental|complementary|completing,
extension,NN,annex|annexe|denotation|elongation|extension|extension phone|extension service|file name extension|filename extension|lengthiness|prolongation|propagation|reference|telephone extension|university extension|wing,delay|hold|time lag|postponement|wait|expansion|enlargement|dissemination|airing|public exposure|spreading|education|instruction|teaching|pedagogy|didactics|educational activity|stretching|string|meaning|substance|property|dance|longness|telephone|phone|telephone set|addition|add-on|improver
algerium,NNP,,NA
factory,NNS,factory|manufactory|manufacturing plant|mill,plant|works|industrial plant
working,NN,working|workings,excavation
clamor,VBG,clamor|clamour,demand|express|verbalize|verbalise|utter|give tongue to|compel|oblige|obligate
improvement,NN,advance|betterment|improvement|melioration,transformation|transmutation|shift|change of state|condition|status
miserable,JJ,abject|deplorable|execrable|hapless|low|low-down|measly|miserable|misfortunate|paltry|pathetic|piteous|pitiable|pitiful|poor|scummy|scurvy|suffering|woeful|wretched,
live,VBG,be|dwell|endure|exist|experience|go|hold out|hold up|inhabit|know|last|live|live on|populate|subsist|survive,be|experience|see|go through
condition,NNS,circumstance|condition|consideration|experimental condition|precondition|shape|status|stipulation|strings|term,state|premise|premiss|assumption|information|good health|healthiness|illness|unwellness|malady|sickness|statement|procedure|process
régime,NN,,NA
response,NN,answer|reaction|reception|reply|response,consequence|effect|outcome|result|event|issue|upshot|bodily process|body process|bodily function|activity|statement|greeting|salutation|phrase|speech act|manner|mode|style|way|fashion
ferocious,JJ,ferocious|fierce|furious|savage,
repression,NN,repression,subjugation|subjection|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|control
ineptitude,NNS,awkwardness|clumsiness|ineptitude|ineptness|maladroitness|slowness|worthlessness,unskillfulness|quality
second,NNP,arcsecond|bit|endorsement|indorsement|instant|irregular|minute|mo|moment|s|sec|second|second base|second gear|secondment,time unit|unit of time|time|position|point|point in time|rank|angular unit|attendant|attender|tender|agreement|gear|gear mechanism|merchandise|ware|product
victor,NNP,master|superior|victor|winner,combatant|battler|belligerent|fighter|scrapper|contestant
hugo,NNP,Hugo|Victor Hugo|Victor-Marie Hugo,
petit,NNP,,NA
determined,NNP,,NA
cloak,NN,cloak,covering|overgarment|outer garment
uncle,NN,uncle,kinsman|benefactor|helper
grandeur,NN,brilliance|grandeur|grandness|magnanimousness|magnificence|nobility|nobleness|splendor|splendour,elegance|honorableness|honourableness
champion,NN,ace|adept|admirer|booster|champ|champion|fighter|friend|genius|hero|hotshot|maven|mavin|paladin|protagonist|sensation|star|superstar|supporter|title-holder|virtuoso|whiz|whizz|wiz|wizard,rival|challenger|competitor|competition|contender|defender|guardian|protector|shielder|advocate|advocator|proponent|exponent|expert
harsh,JJ,abrasive|coarse|harsh|rough,
anti-press,JJ,,NA
loyalty,NN,allegiance|commitment|dedication|loyalty|trueness,fidelity|faithfulness|love|cooperation
oath,NNS,curse|curse word|cuss|expletive|oath|swearing|swearword,profanity|commitment|dedication|promise
libertarian,NN,libertarian,advocate|advocator|proponent|exponent|philosopher
power,VB,power,provide|supply|ply|cater
thanks,NNS,thanks,acknowledgment|acknowledgement|aid|assist|assistance|help
vigorous,JJ,vigorous,
entrepreneurial,JJ,entrepreneurial,
capitalism,NN,capitalism|capitalist economy,market economy|free enterprise|private enterprise|laissez-faire economy
steel,NN,blade|brand|steel|sword,alloy|metal|weapon|arm|weapon system|sharpener
augmented,JJ,augmented,
emperor,NN,emperor|emperor butterfly|emperor moth|Saturnia pavonia,sovereign|crowned head|monarch|vinifera grape|saturniid|saturniid moth|nymphalid|nymphalid butterfly|brush-footed butterfly|four-footed butterfly
obsession,NN,compulsion|fixation|obsession,irrational motive|preoccupation
red,NNP,Bolshevik|bolshie|bolshy|loss|Marxist|red|Red|red ink|Red River|redness,chromatic color|chromatic colour|spectral color|spectral colour|radical|sum|sum of money|amount|amount of money
peril,NNP,danger|endangerment|hazard|jeopardy|peril|risk|riskiness,danger|venture
communist,NNP,commie|communist|Communist,politician|politico|pol|political leader|socialist
mani­festo,NNP,,NA
marx,NNP,Arthur Marx|Chico|Groucho|Harpo|Herbert Marx|Julius Marx|Karl Marx|Leonard Marx|Marx|Zeppo,
engel,NNP,,NA
circulate,VBN,broadcast|circularise|circularize|circulate|diffuse|disperse|disseminate|distribute|go around|pass around|pass on|propagate|spread,travel|go|move|locomote|publicize|publicise|air|bare|displace|run|flow|feed|course
worker,NNS,actor|doer|prole|proletarian|worker,person|individual|someone|somebody|mortal|soul|commoner|common man|common person|insect
union,NNS,brotherhood|conglutination|conjugation|coupling|join|jointure|labor union|marriage|mating|matrimony|North|pairing|sexual union|spousal relationship|sum|trade union|trades union|unification|union|Union|uniting|wedlock,organization|organisation|sexual activity|sexual practice|sex|sex activity|state|marital status|healing|political unit|political entity|set|happening|occurrence|occurrent|natural event|device|combination|combining|compounding
strike,VB,affect|assume|attain|chance on|chance upon|coin|collide with|come across|come to|come upon|discover|excise|expunge|fall|fall upon|happen upon|hit|impinge on|impress|light upon|mint|move|run into|scratch|shine|strickle|strike|take|take up|walk out,touch|attack|assail|read|register|show|record|affect|impact|bear upon|bear on|touch on|protest|resist|dissent|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|achieve|accomplish|attain|reach|shape|form|find|regain|make|create|delete|cancel|move|displace|disassemble|dismantle|take apart|break up|break apart|create from raw material|create from raw stuff|flush|level|even out|even|penetrate|perforate|solve|work out|figure out|puzzle out|lick|work
excessive,JJ,excessive|extravagant|exuberant|inordinate|overweening|undue|unreasonable,
enthusiasm,NN,ebullience|enthusiasm|exuberance,feeling|liveliness|life|spirit|sprightliness|interest|involvement
characterize,VBD,characterise|characterize|qualify,remember|think of|distinguish|mark|differentiate
baron,NNP,baron|big businessman|business leader|king|magnate|mogul|power|top executive|tycoon,Lord|noble|nobleman|peer|businessman|man of affairs
haussmann,NNP,,NA
planning,NN,planning|preparation|provision,preparation|readying|design|designing|thinking|thought|thought process|cerebration|intellection|mentation
redeveloped,JJ,,NA
parisian,JJ,Parisian,
neighborhood,NNS,locality|neck of the woods|neighborhood|neighbourhood|region|vicinity,section|community|indefinite quantity|area|country
airy,JJ,aerial|aeriform|aery|aired|airy|ethereal|impractical|Laputan|visionary|windy,
spacious,JJ,broad|roomy|spacious|wide,
similarly,RB,likewise|similarly,
viollet-le-,NNP,,NA
overboard,RB,overboard,NA
restore,VBG,bushel|doctor|fix|furbish up|mend|reconstruct|reestablish|regenerate|reinstate|rejuvenate|repair|restitute|restore|touch on,regenerate|renew|refund|return|repay|give back|better|improve|amend|ameliorate|meliorate|change|alter|modify
medieval,NN,,NA
way,NNS,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
original,JJ,original,
creator,NNS,Almighty|creator|Creator|Divine|God Almighty|Godhead|Jehovah|Lord|Maker,person|individual|someone|somebody|mortal|soul
imagine,VBN,conceive of|envisage|guess|ideate|imagine|opine|reckon|suppose|think,create by mental act|create mentally|expect|anticipate
guernsey,NNP,Guernsey|island of Guernsey,Channel Island|dairy cattle|dairy cow|milch cow|milk cow|milcher|milker
write,VBG,compose|drop a line|indite|pen|save|spell|write,create verbally|communicate|intercommunicate|correspond|make|create|trace|draw|line|describe|delineate|record|tape|create by mental act|create mentally
le,NNP,LE|lupus erythematosus,lupus|autoimmune disease|autoimmune disorder
misérables,NNP,,NA
baudelaire,NNP,Baudelaire|Charles Baudelaire|Charles Pierre Baudelaire,
work,VBG,act|act upon|bring|crop|cultivate|do work|exercise|exploit|ferment|figure out|forge|form|function|go|influence|knead|lick|make|make for|mold|mould|operate|play|process|put to work|puzzle out|run|shape|solve|sour|turn|work|work on|work out|wreak,succeed|win|come through|bring home the bacon|deliver the goods|transform|transmute|transubstantiate|work|put to work|pass|go|proceed|move|displace|make|create|use|utilize|utilise|apply|employ|fix|prepare|set up|ready|gear up|set|be|affect|impact|bear upon|bear on|touch on|touch|operate|run|manage|deal|care|handle|stimulate|excite|stir|capture|enamour|trance|catch|becharm|enamor|captivate|beguile|charm|fascinate|bewitch|entrance|enchant|create from raw material|create from raw stuff|manipulate|understand|convert|change state|turn|become|get
fleur,NNP,,NA
du,NNP,,NA
mal,NNP,,NA
offenbach,NNP,Jacques Offenbach|Offenbach,
compose,VBG,compile|compose|draw up|frame|indite|pen|write,constitute|represent|make up|comprise|be|make|create|create verbally|calm|calm down|quiet|tranquilize|tranquillize|tranquillise|quieten|lull|still|plan
jolly,RB,fairly|jolly|middling|moderately|passably|pretty|reasonably|somewhat,
operetta,NNS,light opera|operetta,comic opera|opera bouffe|bouffe|opera comique
belle,NNP,belle,girl|miss|missy|young lady|young woman|fille
hélène,NNP,,NA
courbet,NNP,Courbet|Gustave Courbet,
paint,VBG,paint,create|coat|surface|represent|interpret|cover
canvas,NNS,canvas|canvas tent|canvass|sail|sheet,fabric|cloth|material|textile|oil painting|setting|background|scope|tent|collapsible shelter|piece of cloth|piece of material|mat|gym mat
manet,NNP,Edouard Manet|Manet,
déjeuner,NNP,,NA
sur,NN,Sur|Tyre,
l,NN,50|cubic decimeter|cubic decimetre|fifty|l|L|lambert|liter|litre,metric capacity unit|large integer|illumination unit|letter|letter of the alphabet|alphabetic character
herbe,NNP,,NA
society,NNP,beau monde|bon ton|club|companionship|company|fellowship|gild|guild|high society|lodge|order|smart set|social club|society,social group|association|friendship|friendly relationship|elite|elite group
optimistic,JJ,affirmative|optimistic,
show,VBD,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run
prosperity,NN,prosperity|successfulness,economic condition|good fortune|luckiness|good luck
furnishings,NNS,,NA
silk,NNS,silk,fabric|cloth|material|textile|animal fiber|animal fibre
satin,NNS,satin,fabric|cloth|material|textile
bauble,NNS,bangle|bauble|fallal|gaud|gewgaw|novelty|trinket,scepter|sceptre|verge|wand|adornment
1852,CD,NA,NA
department,NN,department|section,division|administrative district|administrative division|territorial division|sector|sphere
store,NN,computer memory|computer storage|depot|entrepot|fund|memory|memory board|shop|stock|storage|store|storehouse,mercantile establishment|retail store|sales outlet|outlet|accumulation|memory device|storage device|hardware|computer hardware|depository|deposit|depositary|repository
au,FW,NA,NA
bon,NNP,,NA
marché,NNP,,NA
develop,VBG,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand
optimism,NN,optimism,hope|disposition|temperament
level,NN,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction
critique,NN,critical review|criticism|critique|review|review article,criticism|literary criticism|critical appraisal|critical analysis
account,NN,account|account statement|accounting|bill|business relationship|chronicle|explanation|history|invoice|news report|report|score|story|write up,record|news|relationship|statement|reason|ground|importance|financial statement|informing|making known|profit|gain
settle,VB,adjudicate|conciliate|decide|descend|determine|ensconce|fall|finalise|finalize|get back|go down|go under|locate|make up|nail down|patch up|reconcile|resolve|root|settle|settle down|sink|square off|square up|steady down|subside|take root,put|set|place|pose|position|lay|end|terminate|conclude|resolve|agree|hold|concur|concord|descend|fall|go down|come down|stabilize|stabilise|become|go|get|build up|develop|stop|halt|arrange|set up|accept|consent|go for|fix up|change|sink|settle|go under|contend|fight|struggle|come
1870,CD,NA,NA
chan­cellor,NNP,,NA
bismarck,NNP,Bismarck|capital of North Dakota|Iron Chancellor|Otto von Bismarck|Prince Otto Eduard Leopold von Bismarck|Prince Otto von Bismarck|von Bismarck,
unite,VB,combine|connect|join|link|link up|merge|unify|unite,join|fall in|get together|integrate|have|feature|change|alter|modify
principality,NNS,princedom|principality,domain|demesne|land
fight,VBG,agitate|campaign|contend|crusade|defend|fight|fight back|fight down|oppose|press|push|struggle,contend|fight|struggle|try|seek|attempt|essay|assay|advertise|advertize|promote|push
equip,VBD,equip|fit|fit out|outfit,supply|provide|render|furnish|enable
lightning,NN,lightning,atmospheric electricity|flash
ill-prepared,JJ,,NA
german,NNPS,German|German language|High German,European|West Germanic|West Germanic language
march,VBD,abut|adjoin|border|butt|butt against|butt on|demonstrate|edge|exhibit|march|parade|process,walk|protest|resist|dissent|touch|adjoin|meet|contact
lay,VBN,lay|place|pose|position|put|put down|repose|set,move|displace|put|set|place|pose|position|lay|organize|organise|prepare|devise|get up|machinate|put down|repose|levy|impose
capitulate,VBD,capitulate,surrender|give up
1871,CD,NA,NA
dwindle,VBG,dwindle|dwindle away|dwindle down,decrease|diminish|lessen|fall
end,VBG,cease|end|finish|stop|terminate,change|alter|modify|be|destroy|destruct
portion,NN,circumstances|component|component part|constituent|destiny|dower|dowery|dowry|fate|fortune|helping|lot|luck|parcel|part|percentage|portion|serving|share,relation|object|physical object|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation|assets|condition|gift|small indefinite quantity|small indefinite amount
cede,VBN,cede|concede|deliver|give up|grant|surrender|yield,give|gift|present
defeat,NNP,defeat|frustration|licking,ending|conclusion|finish|failure|disappointment|letdown
shatter,VBD,shatter,burst|bust|damage|break
third,NNP,one-third|third|third base|third gear|tierce,common fraction|simple fraction|position|rank|interval|musical interval|gear|gear mechanism|base|bag
repub­lic,NNP,,NA
adolphe,NNP,,NA
thier,NNP,,NA
surrender,NN,capitulation|fall|giving up|resignation|surrender|yielding,despair|relinquishment|relinquishing|delivery|livery|legal transfer|loss
commune,NNS,commune,administrative district|administrative division|territorial division|gathering|assemblage
march,NNP,border district|borderland|Mar|march|March|MArch|marching|marching music|marchland|Master of Architecture,Gregorian calendar month|walk|walking|progress|progression|procession|advance|advancement|forward motion|onward motion|district|territory|territorial dominion|dominion|music genre|musical genre|genre|musical style|master's degree
desperately,RB,desperately|urgently,
disorganized,JJ,disorganised|disorganized,
week,NNS,calendar week|hebdomad|week|workweek,time period|period of time|period|work time
brutally,RB,brutally|savagely|viciously,
industrial,JJ,industrial,
progress,NN,advance|advancement|forward motion|onward motion|procession|progress|progression,development|motion|movement|move|change of location|travel
pay,VBN,ante up|bear|compensate|devote|give|make up|pay|pay off|pay up|yield,give|communicate|intercommunicate|pay|gain|take in|clear|make|earn|realize|realise|pull in|bring in|settle|think|cogitate|cerebrate|be|digest|endure|stick out|stomach|bear|stand|tolerate|support|brook|abide|suffer|put up|requite|repay
war-reparation,JJ,,NA
debt,NN,debt,indebtedness|liability|financial obligation|liabilities|obligation
indochina,NNP,Indochina|Indochinese peninsula,
rediscovered,NNP,,NA
perfect,JJ,arrant(a)|complete(a)|consummate(a)|double-dyed(a)|everlasting(a)|gross(a)|perfect|perfect(a)|pure(a)|sodding(a)|staring(a)|stark(a)|thorough(a)|thoroughgoing(a)|unadulterated|utter(a),
expression,NN,aspect|construction|expression|face|facial expression|formula|formulation|grammatical construction|locution|look|manifestation|reflection|reflexion|saying|verbal expression|verbalism,countenance|visage|demonstration|demo|communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|expressive style|style|mathematical statement|organic process|biological process|constituent|grammatical constituent|squeeze|squeezing
eiffel,NNP,Alexandre Gustave Eiffel|Eiffel,
thrust,NN,drive|driving force|jab|jabbing|knife thrust|poke|poking|push|stab|thrust|thrusting,force|blow|propulsion|actuation|criticism|unfavorable judgment|gesture
sky,NNS,sky,atmosphere
exhibition,NN,exhibition|expo|exposition,presentation|presentment|demonstration|collection|aggregation|accumulation|assemblage
1889,CD,NA,NA
1874,CD,NA,NA
impressionism,NN,Impressionism,artistic movement|art movement
blow,VBN,ball up|be adrift|blow|blow out|bluster|boast|bobble|bodge|bollix|bollix up|bollocks|bollocks up|botch|botch up|brag|bumble|bungle|burn out|drift|fellate|float|flub|fluff|foul up|fuck up|fumble|gas|gasconade|go down on|louse up|mess up|mishandle|muck up|muff|screw up|shoot a line|shove along|shove off|spoil|squander|suck|swash|tout|vaunt|waste,exhale|expire|breathe out|exhaust|discharge|expel|eject|release|travel|go|move|locomote|sound|shape|form|be|fail|go wrong|miscarry|use|expend|spend|drop|stimulate|excite|stir|send|direct|displace|spurt|spirt|gush|spout|go away|depart|lay|put down|repose|unwrap|disclose|let on|bring out|reveal|discover|expose|divulge|break|give away|let out|uncover|overstate|exaggerate|overdraw|hyperbolize|hyperbolise|magnify|amplify|rest|go bad|give way|die|give out|conk out|break down|burst|split|break open
dust,NN,debris|detritus|dust|junk|rubble,particulate|particulate matter|rubbish|trash|scrap|material|stuff
cobweb,NNS,cobweb|gossamer,fabric|cloth|material|textile|fibril|filament|strand|spider web|spider's web
artistic,JJ,aesthetic|artistic|esthetic,
novelist,NNP,novelist,writer|author
emile,NNP,Emile,
zolum,NNP,,NA
pour,VBD,decant|pelt|pour|pour out|pullulate|rain buckets|rain cats and dogs|stream|swarm|teem,move|displace|crowd|crowd together|pour|run|flow|feed|course|supply|provide|render|furnish|rain|rain down
argument,NNS,arguing|argument|argumentation|contention|contestation|controversy|debate|disceptation|disputation|line|line of reasoning|literary argument|logical argument|parameter|statement|tilt,evidence|dispute|difference|difference of opinion|conflict|discussion|give-and-take|word|summary|sum-up|address|computer address|reference|value|variable|variable quantity|reasoning|logical thinking|abstract thought
rodin,NNP,Auguste Rodin|Francois Auguste Rene Rodin|Rodin,
restrained,JJ,guarded|moderate|quiet|restrained|reticent|unemotional,
sculpted,JJ,graven|sculpted|sculptured,
masterpiece,NNS,chef-d'oeuvre|masterpiece,work|piece of work|accomplishment|achievement
penseur,NNP,,NA
thinker,NNP,creative thinker|mind|thinker,intellectual|intellect|intellectual|intellect
lead,VBG,chair|conduce|conduct|contribute|direct|extend|go|guide|head|lead|leave|moderate|pass|precede|result|run|take|top,produce|bring about|give rise|leave|result|lead|precede|induce|stimulate|cause|have|get|make|be|direct|promote|advance|boost|further|encourage|perform|execute|do|travel|go|move|locomote|pass|make pass|hash out|discuss|talk over
repub­lican,NN,,NA
hostility,NN,aggression|antagonism|enmity|hostility|ill will,unfriendliness|state|hate|hatred|action
entrench,VBN,dig in|encroach|entrench|impinge|intrench|trench,fasten|fix|secure|trespass|take advantage
1882,CD,NA,NA
jule,NNP,,NA
ferry,NNP,ferry|ferryboat|ferrying,boat|transportation|shipping|transport
formidable,JJ,formidable|redoubtable|unnerving,
nationalist,JJ,nationalist|nationalistic,
motivate,VBN,actuate|incite|motivate|move|prompt|propel,cause|do|make
desire,NN,desire,feeling|tendency|inclination|arousal
hit,VB,arrive at|attain|bump off|collide with|come to|dispatch|gain|hit|impinge on|make|murder|off|pip|polish off|rack up|reach|remove|run into|score|shoot|slay|strike|stumble|tally,propel|impel|touch|affect|impact|bear upon|bear on|touch on|injure|wound|come by|come into|gain|advance|win|pull ahead|make headway|get ahead|gain ground|attack|assail|kill|move|displace|arrive|get|come|succeed|come through|bring home the bacon|deliver the goods|approach
